IssuerId,IssuerId2,BusinessDate,StateCode,SourceName,NetworkName,NetworkURL,custnum,MarketCoverage,DentalOnlyPlan
31195,31195,2019-10-01,SD,SERFF,Sanford Health Plan South Dakota Network,https://www.viiad.com/shp/provider_search_main.asp,14,,
60536,60536,2019-10-01,SD,SERFF,Avera Health Plans,www.Avera.org/ProviderDirectory,13,,
61214,61214,2019-10-01,SD,SERFF,DenteMax,http://www2.dentemax.com/,14,,
62210,62210,2019-10-01,SD,SERFF,DAKOTACARE,http://www.dakotacare.com/locateourproviders/providerdirectory/,15,,
80261,80261,2019-10-01,SD,SERFF,Lincoln Dental Connect,http://lfg.go2dental.com/member/dental_search/searchprov.cgi?P=LFGDentalConnect&Network=L,13,Individual,No
80608,80608,2019-10-01,SD,SERFF,DentalGuard Preferred,https://www.guardiananytime.com/fpapp/FPWeb/dentalSearch.process,13,SHOP (Small Group),No
14948,14948,2019-10-01,UT,SERFF,DeltaCare USA DHMO,http://www.deltadentalins.com/find-a-dentist/,13,Individual,No
18167,18167,2019-10-01,UT,SERFF,Molina Healthcare of Utah,http://www.molinahealthcare.com/providersearch,13,SHOP (Small Group),Yes
27619,27619,2019-10-01,UT,SERFF,Arches Horizon Network,http://www.archeshealth.org/providernetwork,13,Individual,Yes
34541,34541,2019-10-01,UT,SERFF,Exchange Network,www.bridgespanhealth.com,13,Individual,No
38927,38927,2019-10-01,UT,SERFF,Altius Peak Preference Network,http://ut.coventryproviders.com,13,SHOP (Small Group),No
38927,38927,2019-10-01,UT,SERFF,Altius Network,http://ut.coventryproviders.com,13,SHOP (Small Group),Yes
40335,40335,2019-10-01,UT,SERFF,Premier,emihealth.com,13,SHOP (Small Group),Yes
40335,40335,2019-10-01,UT,SERFF,Advantage,emihealth.com,13,SHOP (Small Group),Yes
42757,42757,2019-10-01,UT,SERFF,DenteMax,http://www2.dentemax.com/,13,Individual,Yes
46958,46958,2019-10-01,UT,SERFF,Humana Dental PPO/Traditional Preferred,https://www.humana.com/finder/search?customerID=1085&pfpkey=317,13,Individual,No
56764,56764,2019-10-01,UT,SERFF,Salt Lake City HMOx,http://pfp.humana.com/Pfp/PfpMain.aspx?cust=1059&pfpkey=820,13,Individual,No
68781,68781,2019-10-01,UT,SERFF,Fundamental,selecthealth.org/findaprovider,13,SHOP (Small Group),No
68781,68781,2019-10-01,UT,SERFF,Select Care,http://intermountainhealthcare.org/providers/index.html?brand=sh,13,Individual,No
68781,68781,2019-10-01,UT,SERFF,Select Med,http://intermountainhealthcare.org/providers/index.html?brand=sh,13,Individual,No
68781,68781,2019-10-01,UT,SERFF,Prime,selecthealth.org/findaprovider,14,Individual,No
68781,68781,2019-10-01,UT,SERFF,Select Value,http://intermountainhealthcare.org/providers/index.html?brand=sh,13,Individual,Yes
68781,68781,2019-10-01,UT,SERFF,Classic,selecthealth.org/findaprovider,14,Individual,Yes
